energy,liveness,speechiness,danceability,valence,uri
0.561,0.227,0.0361,0.379,0.0878,spotify:track:6HGqY7dzTUFYPpYxzMNIsE
0.688,0.0888,0.0414,0.607,0.394,spotify:track:36ZsQpM7KKKyHfIcI19rBY
0.96,0.101,0.0402,0.587,0.774,spotify:track:0z5nmhwDyAZqv1stZZkSV0
0.636,0.324,0.0354,0.722,0.6,spotify:track:66t2TPMEcZCnBjKhDgJejx
0.744,0.135,0.0341,0.552,0.525,spotify:track:5WBxU5aM1vJS8R5gZkImmZ
0.859,0.195,0.042,0.484,0.322,spotify:track:2eUbpot0hSqxxqLf80HUC2
0.577,0.364,0.166,0.755,0.28,spotify:track:0FTfcvSwEBm5MLDHv9yQuj
0.814,0.122,0.0305,0.554,0.654,spotify:track:5Ml05nblnF77geYv8DILVy
0.578,0.103,0.0651,0.641,0.406,spotify:track:6f2xMef0qJUgi2ND5X92Mm
0.745,0.0932,0.0372,0.698,0.174,spotify:track:6wwvermVrzVNj2GAkat3wg
0.673,0.141,0.0413,0.775,0.596,spotify:track:4NaJG5shGGT0kr0xr5Tu5m
0.173,0.11,0.0411,0.493,0.257,spotify:track:0ONC6HexSqvBpTe73x7Aqz
0.818,0.106,0.0384,0.465,0.513,spotify:track:0ZeKrjrykY6Jh4lkwjSnPk
0.79,0.0987,0.0387,0.474,0.512,spotify:track:1wqPG0L1WH5InX8h9eIqEo
0.885,0.607,0.0443,0.5,0.251,spotify:track:2O0ajlqcZJS17YmxJe57c6
0.574,0.402,0.0663,0.935,0.362,spotify:track:0ZJTpm5br01XUWxctc6fLK
0.569,0.491,0.0593,0.627,0.779,spotify:track:1fIpkj5rydpp6ITqkxhfgv
0.581,0.034,0.0429,0.605,0.632,spotify:track:29l2zpDmlSdyCWMk9lVFkx
0.702,0.0932,0.0526,0.58,0.351,spotify:track:3p1K7XXFkLUEuThHTM7liO
0.794,0.324,0.0407,0.525,0.414,spotify:track:22d0GHPH96u53UPDOBtArc
0.588,0.112,0.0319,0.668,0.541,spotify:track:6hgVPOwLuAtUSQvx4aiEF7
0.88,0.347,0.0442,0.303,0.404,spotify:track:004s3t0ONYlzxII9PLgU6z
0.838,0.088,0.0294,0.285,0.386,spotify:track:6z77TFJxZDzt5Qn75qRnC7
0.553,0.108,0.03,0.67,0.335,spotify:track:0mPqXyXuaega1cGs2SF3YD
0.596,0.118,0.119,0.895,0.414,spotify:track:5trOGJzAYdk6ZYtN7Xn3Yc
0.844,0.323,0.0324,0.641,0.333,spotify:track:1uyxdwcR91O0JgXmHQ0iH9
0.656,0.135,0.0364,0.543,0.0567,spotify:track:6yheBZ7A1GylOrhyhXxOtP
0.742,0.0817,0.0511,0.759,0.794,spotify:track:32nlmxsJvGjWgFzKPIxXvJ
0.67,0.111,0.06,0.646,0.188,spotify:track:5x1GUVgMkpf6P53sxugHgw
0.776,0.31,0.0289,0.543,0.21,spotify:track:7nDALqV4uci3oHHMgQm4HO
0.468,0.143,0.0423,0.76,0.678,spotify:track:4rKvsfdfnwgN4C1u7n6N4f
0.537,0.112,0.296,0.786,0.323,spotify:track:2VCRD2qc8PuXFZNdH0W0E8
0.744,0.135,0.0341,0.552,0.525,spotify:track:5WBxU5aM1vJS8R5gZkImmZ
0.785,0.086,0.0457,0.569,0.303,spotify:track:0xIVvRmjztR1AwuHrkhH41
0.68,0.158,0.0306,0.725,0.76,spotify:track:2wqaekenSQZm7hxQOYt8oE
0.866,0.412,0.0392,0.677,0.0386,spotify:track:6JEntXLt4z98CcDtIH9sU7
0.394,0.247,0.0428,0.694,0.719,spotify:track:3fuXKiEzDCs1IBnLHQ5CL0
0.433,0.105,0.0292,0.284,0.121,spotify:track:5pRvd7BtQZ42S9zegc0nOa
0.972,0.328,0.088,0.614,0.411,spotify:track:6PtXobrqImYfnpIxNsJApa
0.373,0.0931,0.116,0.814,0.632,spotify:track:0BgbobvykXxEvxo2HhCuvM
0.943,0.091,0.0602,0.442,0.781,spotify:track:6L89mwZXSOwYl76YXfX13s
0.866,0.229,0.333,0.733,0.642,spotify:track:3hINve38MvChpNvComk9wA
0.346,0.108,0.0522,0.871,0.659,spotify:track:2iXdwVdzA0KrI2Q0iZNJbX
0.967,0.61,0.0508,0.529,0.596,spotify:track:0UFDKFqW2oGspYeYqo9wjA
0.749,0.103,0.0702,0.318,0.336,spotify:track:0RchWnEHETINMAyrTrlBmo
0.837,0.0821,0.0633,0.558,0.488,spotify:track:4RyK6N4IQ85xxLgguQAFH5
0.404,0.3,0.0499,0.414,0.224,spotify:track:1AhDOtG9vPSOmsWgNW0BEY
0.626,0.277,0.0339,0.428,0.379,spotify:track:4Ouhoi2lAhrLJKFzUqEzwl
0.647,0.0585,0.0296,0.417,0.339,spotify:track:41pFyxOpS119Pb8JEzhx0w
0.974,0.0871,0.191,0.42,0.463,spotify:track:6NCIYnyYE1veacMLTgCVbK
0.967,0.442,0.0601,0.641,0.725,spotify:track:3u1Er1rkjn1oSz1xdZH3ZD
0.615,0.108,0.0384,0.778,0.648,spotify:track:5unfeZUhKhICP73CDYBW4N
0.74,0.33,0.0375,0.43,0.0948,spotify:track:1yqMgZNrevsWMLWfO2PRp5
0.983,0.0683,0.174,0.635,0.434,spotify:track:6jNM6fKx3WnyHbWBI9hs2r
0.78,0.0751,0.0748,0.523,0.187,spotify:track:0VGrgE7GbWaINRnh1bR4k9
0.767,0.12,0.189,0.905,0.871,spotify:track:78ce4gBp4x0JfSpzIvDdZo
0.694,0.0698,0.172,0.663,0.524,spotify:track:1RKUoGiLEbcXN4GY4spQDx
0.832,0.0924,0.0325,0.5,0.553,spotify:track:5r35Zd5Onw3aV3Gm9XdgtI
0.658,0.264,0.0472,0.45,0.781,spotify:track:0EMmVUYs9ZZRHtlADB88uz
0.955,0.322,0.0524,0.534,0.425,spotify:track:3lXYJJYqh2oFL1U3yVec73
0.392,0.0923,0.0319,0.59,0.37,spotify:track:3STbv0QTUiptk5vDPBQOXA
0.653,0.122,0.0594,0.6,0.43,spotify:track:6qqdFWe7C4LsBjWbXQdsHA
0.674,0.255,0.0269,0.656,0.369,spotify:track:1NNAI51EuoRWw1ydX1zV7S
0.574,0.12,0.0372,0.535,0.445,spotify:track:49h0RYK3yzWkfbVyNJjJ01
0.944,0.0828,0.0593,0.324,0.288,spotify:track:3XbefxYuXwdevdt9OegZhI
0.868,0.776,0.17,0.559,0.609,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
0.933,0.503,0.395,0.495,0.815,spotify:track:69yVxyuRahEzs2taFMVVoO
0.978,0.0731,0.131,0.554,0.594,spotify:track:4Yf5bqU3NK4kNOypcrLYwU
0.705,0.613,0.177,0.818,0.772,spotify:track:0d28khcov6AiegSCpG5TuT
0.826,0.0803,0.0479,0.638,0.649,spotify:track:4lCv7b86sLynZbXhfScfm2
0.828,0.122,0.0281,0.654,0.79,spotify:track:7wVqvMJsad67kvg4V1nXHm
0.821,0.116,0.176,0.714,0.649,spotify:track:69gRFGOWY9OMpFJgFol1u0
0.567,0.11,0.0778,0.412,0.422,spotify:track:7BWXAPR8TxPR3ppVUqvotE
0.89,0.306,0.0688,0.706,0.684,spotify:track:3NcO4jGK1Opb5ea0mYLpxb
0.558,0.118,0.0593,0.706,0.227,spotify:track:4lLtanYk6tkMvooU0tWzG8
0.876,0.109,0.0536,0.67,0.736,spotify:track:4VbDJMkAX3dWNBdn3KH6Wx
0.78,0.0828,0.0436,0.545,0.458,spotify:track:3zKST4nk4QJE77oLjUZ0Ng
0.948,0.376,0.0356,0.535,0.778,spotify:track:0S7zL7ae0KpOSPKeFQpHo8
