energy,liveness,speechiness,danceability,valence,uri,genre
0.585,0.348,0.0288,0.659,0.784,spotify:track:6YffUZJ2R06kyxyK6onezL,arkansas country outlaw country
0.735,0.123,0.0384,0.831,0.97,spotify:track:5EYdTPdJD74r9EVZBztqGG,alternative metal comic funk metal funk rock nu metal punk rap rock
0.623,0.104,0.0256,0.641,0.65,spotify:track:3IfctMaf2sfvlSLRa42Cna,brazilian edm nova mpb
0.46,0.482,0.0437,0.563,0.934,spotify:track:0OkoFxzb616mT2znU5aENH,
0.636,0.35,0.0437,0.737,0.565,spotify:track:6kPJZM97LwdG9QIsT7khp6,dance pop edm pop pop dance post-teen pop tropical house uk dance uk funky
0.857,0.344,0.0655,0.492,0.393,spotify:track:1SgdUjvppHnIp6L7DZSnwc,dance pop edm pop pop dance tropical house
0.815,0.568,0.0905,0.307,0.571,spotify:track:4JzUP4yudVCw4qNh8ZdKgN,indie poptimism modern alternative rock
0.704,0.166,0.0476,0.719,0.628,spotify:track:25sgk305KZfyuqVBQIahim,dance pop pop
0.811,0.105,0.286,0.517,0.494,spotify:track:1hWYT0w2R0J19rlVkiez7X,chicago rap conscious hip hop hip hop political hip hop pop rap rap southern hip hop
0.703,0.0657,0.0369,0.73,0.595,spotify:track:2K87XMYnUMqLcX3zvtAF4G,boy band pop post-teen pop talent show
0.481,0.102,0.0289,0.509,0.295,spotify:track:6r64PMqq9VxnT0Xr3439uH,modern alternative rock modern rock pop pop rock rock stomp pop
0.429,0.122,0.033,0.338,0.167,spotify:track:4osqCEZCWttWdR9nFZ9c82,otacore
0.761,0.119,0.226,0.643,0.345,spotify:track:1tKSESuh7Rdpwe3bqxiWOH,brazilian edm nova mpb
0.931,0.0871,0.0378,0.553,0.815,spotify:track:04j67XNNVu1HI7JrIlMM3S,
0.936,0.103,0.0706,0.533,0.354,spotify:track:4y1fOO9tZoIH64GG445xTc,rebel blues
0.679,0.0942,0.0489,0.513,0.466,spotify:track:1uGSLaISXZ8GbrXaTcHX3N,epicore modern alternative rock
0.626,0.0741,0.0467,0.0993,0.0399,spotify:track:3jevgr3fYdv9wYO3IDJq2a,video game music
0.769,0.108,0.0872,0.566,0.385,spotify:track:5sbooPcNgIE22DwO0VNGUJ,k-pop girl group
0.565,0.0874,0.0537,0.819,0.58,spotify:track:3eCofNVG97J3lRyNhh0zPP,funk carioca pop nacional
0.621,0.121,0.129,0.622,0.567,spotify:track:3qGDwGqdyFq3faUU4BmhdY,australian dance australian pop dance pop pop pop dance
0.541,0.13,0.0505,0.851,0.448,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,pop pop rock
0.647,0.106,0.172,0.727,0.62,spotify:track:2sgqaAOONUE8yrRuIDxxqo,modern alternative pop
0.297,0.138,0.0339,0.285,0.156,spotify:track:4hTg9q0AnxtH4yZKeRcMin,alternative metal canadian metal canadian rock nu metal post-grunge wrestling
0.834,0.0586,0.045,0.747,0.687,spotify:track:4kWO6O1BUXcZmaxitpVUwp,big room brostep dance pop dutch edm edm electro house house pop pop dance trance tropical house
0.663,0.0621,0.1,0.459,0.412,spotify:track:69Sy7207dnixZ6w7RSV9Kb,video game music
0.473,0.206,0.0359,0.599,0.207,spotify:track:3UOquqzekRURGgIdKUPkxN,
0.5,0.155,0.0443,0.539,0.545,spotify:track:0xPrwvT2vdieEch0oxLmvh,modern alternative rock rebel blues
0.686,0.0917,0.0367,0.57,0.485,spotify:track:2hsWm0y2BS0JHNyTXit5iQ,modern alternative pop
0.715,0.239,0.0391,0.427,0.403,spotify:track:0I1o0s1sqCQA8rVwxLks3K,otacore
0.422,0.0705,0.0323,0.47,0.138,spotify:track:4ds7fLYjpDeDS1l7oe2sjd,epicore
0.875,0.151,0.0441,0.635,0.483,spotify:track:5QmR6XFJsGIJ4dZf75hiy6,gymcore modern alternative rock post-screamo
0.731,0.126,0.0429,0.431,0.365,spotify:track:6WsyydKLkmYIshnMyIMKDu,christian alternative rock christian rock
0.887,0.138,0.0882,0.461,0.248,spotify:track:7hVFEyGBDsuejQuj9gUeZI,alternative metal future rock
0.874,0.0932,0.0459,0.532,0.373,spotify:track:59ljvXUMjvxNRc4USjEJTf,christian rock gymcore hard alternative post-screamo
0.933,0.192,0.0621,0.676,0.557,spotify:track:4DKH6n2Rh7l5NrEYshxnCQ,christian alternative rock christian rock gothic alternative pixie pop emo slayer
0.863,0.18,0.057,0.499,0.304,spotify:track:4dOLn4Ebh6OG7jtrgxHj0r,gymcore heavy alternative post-screamo
0.636,0.1,0.0285,0.508,0.175,spotify:track:4bxY7xIOnPTsfoDfdnpvpa,otacore pony
0.79,0.603,0.0297,0.508,0.518,spotify:track:6Sdrj33AyNSWZRQBdKyKeh,gymcore modern alternative rock
0.636,0.244,0.0653,0.54,0.312,spotify:track:55kPLihXvuQEgKaHnmM0Mr,
0.809,0.0767,0.0577,0.516,0.349,spotify:track:0cEIhxkEAQoXkTJsrpeYoL,anthem worship
0.576,0.132,0.0536,0.655,0.167,spotify:track:4xBjsLUSjcx2h7PcRikpQp,dance pop pop pop dance post-teen pop
0.818,0.106,0.033,0.655,0.474,spotify:track:2kYqdSlrtovVMMIn6ykzba,big room dance pop edm electro house pop pop dance progressive electro house tropical house
0.505,0.138,0.0933,0.689,0.312,spotify:track:6xTU6B6nFwKKTSZ9ySXS80,edm pop pop dance tropical house
0.651,0.056,0.0499,0.661,0.368,spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,dance pop pop pop dance uk pop
0.66,0.171,0.0429,0.721,0.898,spotify:track:49X8pWDpmFpAITVUaudkcN,dance pop pop pop dance pop rock post-teen pop
0.741,0.172,0.0557,0.485,0.263,spotify:track:2IyrGD3VB3tZvKxHe0PSKG,rebel blues
0.522,0.0854,0.0331,0.597,0.334,spotify:track:1wybXxUeY5yj4Zi7d6jAaW,modern alternative rock
0.541,0.0504,0.029,0.5,0.0991,spotify:track:72rm4UshVAnZmepRgrySib,otacore viral pop
0.707,0.0922,0.0348,0.583,0.37,spotify:track:5MQV1cs9vJ7wmwrt8E0U0X,indiecoustica
0.925,0.276,0.109,0.447,0.208,spotify:track:6RmhvPYjkL6A7R1GCHdr1L,rebel blues
0.599,0.0799,0.031,0.617,0.327,spotify:track:65w3V6eFz6XCsrRl9eifUY,indie poptimism modern alternative rock
0.294,0.0877,0.031,0.303,0.129,spotify:track:6gGUxI4P1aRzd5DZkj9KNt,modern alternative pop
0.595,0.174,0.0332,0.463,0.108,spotify:track:5XMYHUrX71sStmDNqJoyPZ,
0.444,0.0819,0.0345,0.162,0.245,spotify:track:2Irq4xbAirAYuAk8DHoz8t,rebel blues
0.831,0.117,0.0346,0.502,0.531,spotify:track:6FKMfNgLra01edW4dPpGat,modern alternative rock
0.612,0.245,0.0562,0.492,0.14,spotify:track:3KNVrbdAg1FEJr1MACHUSN,epicore
0.657,0.112,0.037,0.163,0.136,spotify:track:3Plqzrpvow8beA88cPWVUi,hard alternative
0.639,0.113,0.0402,0.371,0.136,spotify:track:2ZPS7SJA2JydlUGfIe1xEw,epicore
0.972,0.119,0.0951,0.348,0.652,spotify:track:1bKRtH1leT7y003VikaXUc,christian alternative rock christian rock gymcore post-screamo
0.994,0.0578,0.568,0.567,0.342,spotify:track:4uCD97FqWLBb01DhvXHemQ,epicore modern alternative rock
0.678,0.0761,0.0305,0.565,0.284,spotify:track:7pFC5bvXuO0k1wrcQYlG06,anthem worship
0.427,0.0926,0.0334,0.469,0.451,spotify:track:1XnECdIkJEJnpU6Cb5aEJm,indiecoustica
0.526,0.0778,0.0363,0.375,0.187,spotify:track:2ZkXaW1z81xG9I8RXweeBZ,acoustic pop deep acoustic pop
